상품범주(대),상품범주(중),상품범주(소),상품범주(세),상품,상품명,매출금액(취급고기준),카테고리,Dictionary
가공식품,가공부가상품,가공선물세트,가공선물세트,371676,토실이표고세트(이백장용 선물세트 88g/EA),2720,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,372751,헬씨키트30(따끈한밥200g+김치볶음80g+연잎콩카레덮밥소스200g 대체식키트용 480g/EA),499920,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,372756,헬씨키트31(따끈한밥200g+김치볶음80g+유니짜장덮밥소스200g 대체식키트용 480g/EA),206440,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,372757,헬씨키트32(따끈한밥200g+김치볶음80g+불고기계란덮밥소스200g 대체식키트용 480g/EA),829000,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,372763,헬씨키트36(따끈한밥200g+사골곰탕250g+쥐눈이콩조림100g 대체식키트용 550g/EA),2518340,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,374168,헬씨키트37(따끈한밥200g+사골곰탕250g+우엉조림100g 대체식키트용 550g/EA),192000,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,378105,백설 선물세트(제일6호 1.833Kg/EA),6184475,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,378987,백설 선물세트(프리미엄_14호 특판용 1.383Kg/EA),19706190,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,378988,백설 선물세트(진한참기름_2호 특판용 800g/EA),6247487,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,378989,백설 선물세트(스팸고급유7호 특판용 1.52Kg/EA),14742546,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,378990,백설 선물세트(진한참기름특호 특판용 1.5Kg/EA),3885277,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,378991,백설 선물세트(고소한참기름_A호 특판용 982g/EA),38002319,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,378992,한뿌리 선물세트(흑삼대보_스틱복합_흑삼대보_흑삼진 특판용 500g/EA),6513027,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,379075,한뿌리 선물세트(구증구포_10g*30포 특판용 300g/EA),1210503,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,379076,백설 선물세트(스팸_레디백세트 특판용 4.08Kg/EA),5832041,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,379091,한뿌리 선물세트(홍삼골드_40ml*16입_가로용 특판용 1.2Kg/EA),404000,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,379352,만두선물세트(이백장돈까스용 1.2Kg/BOX),1660,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,380357,해표특선88호(에프앤비용 명절용 1.91Kg/EA),4750,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,380389,해표특선57호(에프앤비용 명절용 2.81Kg/EA),510,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,380644,백설 선물세트(SaveEarthChoice 특판용 1.92Kg/EA),1783036,0,
가공식품,김치/절임류,김치,김치(국산)기타,105930,CJ제일제당 양념소(씨제이나눔재단용 지함 그룹김장봉사용 10Kg/BOX),1817340,1,김치(국산)기타
가공식품,김치/절임류,김치,김치(국산)기타,114246,김장독 동치미(1Kg/EA),2094775,1,김치(국산)기타
가공식품,김치/절임류,김치,김치(국산)기타,192881,한성 배추겉절이(KG),49035,1,김치(국산)기타
가공식품,김치/절임류,김치,김치(국산)기타,193508,일품 오이소박이(KG),70990,1,김치(국산)기타
가공식품,김치/절임류,김치,김치(국산)기타,198244,예소담 보쌈김치(10Kg/BOX),6441287,1,김치(국산)기타
가공식품,김치/절임류,김치,김치(국산)기타,201795,한성 오이소박이(약숙 KG),102936,1,김치(국산)기타
가공식품,김치/절임류,김치,김치(국산)기타,216251,산마식품 총각김치(10Kg/BOX),197800,1,김치(국산)기타
가공식품,김치/절임류,김치,김치(국산)기타,220664,진경 묵은지(일반 5Kg/BOX),11092838,1,김치(국산)기타
가공식품,김치/절임류,김치,김치(국산)기타,220665,진경 묵은지(일반 10Kg/BOX),10381101,1,김치(국산)기타
가공식품,김치/절임류,김치,김치(국산)기타,220668,진경 김치속(5Kg/BOX),1889330,1,김치(국산)기타
가공식품,김치/절임류,김치,김치(국산)기타,220669,진경 김치속(10Kg/BOX),6995750,1,김치(국산)기타
가공식품,김치/절임류,김치,김치(국산)기타,221274,김장독 보쌈김치(1Kg/EA),6195104,1,김치(국산)기타
가공식품,김치/절임류,김치,김치(국산)기타,221276,김장독 총각김치(생 1Kg/EA),1934748,1,김치(국산)기타
가공식품,김치/절임류,김치,김치(국산)기타,221277,김장독 총각김치(생_일반 1Kg/EA),2834867,1,김치(국산)기타
가공식품,김치/절임류,김치,김치(국산)기타,221278,김장독 총각김치(적숙 1Kg/EA),3397574,1,김치(국산)기타
가공식품,김치/절임류,김치,김치(국산)기타,221279,김장독 총각김치(숙성_일반 1Kg/EA),7400106,1,김치(국산)기타
가공식품,김치/절임류,김치,김치(국산)기타,221281,김장독 파김치(1Kg/EA),11008236,1,김치(국산)기타
